2026-08-09 19:37:43,098 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9999 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:20:45,927 - INFO - Analyzed: Sentiment=POSITIVE | Score=1.0 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:20:48,275 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9999 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:20:50,661 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.602 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:20:53,037 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9653 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:20:55,363 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9973 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:20:57,843 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:21:00,222 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9949 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:21:02,905 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9937 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:21:05,273 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9711 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:21:07,704 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:21:10,006 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-08-09 20:21:12,359 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.7908 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-08-09 20:21:15,048 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9638 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:21:17,388 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9885 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:21:19,794 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.7648 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:21:22,108 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9999 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-08-09 20:21:24,459 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9999 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-08-09 20:21:26,924 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9998 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:21:29,379 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.7648 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-08-09 20:21:32,191 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-08-09 20:21:34,581 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.5332 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,795 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9998 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-09-01 12:10:58,811 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9996 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,811 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.6853 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,811 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9951 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-09-01 12:10:58,812 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9998 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-09-01 12:10:58,812 - INFO - Analyzed: Sentiment=NEGATIVE | Score=1.0 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-09-01 12:10:58,813 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.7554 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-09-01 12:10:58,813 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.5327 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-09-01 12:10:58,813 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9999 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,814 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-09-01 12:10:58,814 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-09-01 12:10:58,814 - INFO - Analyzed: Sentiment=NEGATIVE | Score=1.0 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-09-01 12:10:58,814 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-09-01 12:10:58,815 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9976 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-09-01 12:10:58,815 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9769 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-09-01 12:10:58,815 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9977 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,815 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9985 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-09-01 12:10:58,815 - INFO - Analyzed: Sentiment=POSITIVE | Score=1.0 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-09-01 12:10:58,816 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9988 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-09-01 12:10:58,816 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.6924 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-09-01 12:10:58,816 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9999 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,816 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9997 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-09-01 12:10:58,817 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9999 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-09-01 12:10:58,817 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9959 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,818 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9997 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-09-01 12:10:58,818 - INFO - Analyzed: Sentiment=POSITIVE | Score=1.0 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-09-01 12:10:58,818 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-09-01 12:10:58,818 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.998 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,819 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-09-01 12:10:58,819 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-09-01 12:10:58,819 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9993 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-09-01 12:10:58,819 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9999 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-09-01 12:10:58,820 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9698 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-09-01 12:10:58,820 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,820 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-09-01 12:10:58,820 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9691 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-09-01 12:10:58,821 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,821 - INFO - Analyzed: Sentiment=POSITIVE | Score=1.0 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
2026-09-01 12:10:58,821 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9478 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-09-01 12:10:58,822 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9986 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-09-01 12:10:58,822 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9506 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-09-01 12:10:58,822 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9388 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-09-01 12:10:58,822 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-09-01 12:10:58,823 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9989 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-09-01 12:10:58,823 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9969 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,823 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.8651 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,823 - INFO - Analyzed: Sentiment=POSITIVE | Score=1.0 | Relevance=General Cryptocurrency | Impact=HIGH IMPACT
2026-09-01 12:10:58,824 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-09-01 12:10:58,824 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9993 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,824 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.7895 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,824 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9951 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-09-01 12:10:58,825 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.584 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,825 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9954 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,825 - INFO - Analyzed: Sentiment=NEUTRAL | Score=1.0 | Relevance=Irrelevant Content | Impact=LOW IMPACT
2026-09-01 12:10:58,826 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9937 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:10:58,826 - INFO - Analyzed: Sentiment=NEGATIVE | Score=0.9993 | Relevance=Irrelevant Content | Impact=HIGH IMPACT
2026-09-01 12:15:40,163 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9966 | Relevance=General Cryptocurrency | Impact=LOW IMPACT
2026-09-01 12:15:40,164 - INFO - Analyzed: Sentiment=NEUTRAL | Score=0.9968 | Relevance=Bitcoin-Specific | Impact=LOW IMPACT
2026-09-01 12:15:40,165 - INFO - Analyzed: Sentiment=POSITIVE | Score=0.9999 | Relevance=Bitcoin-Specific | Impact=HIGH IMPACT
